[03-Aug-2012 14:18:16] PHP Fatal error:  Class 'Home' not found in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 35
[04-Aug-2012 06:01:41] PHP Warning:  include() [<a href='function.include'>function.include</a>]: Failed opening '/Applications/XAMPP/xamppfiles/htdocs/spkmanager/header.php' for inclusion (include_path='.:/Applications/XAMPP/xamppfiles/lib/php:/Applications/XAMPP/xamppfiles/lib/php/pear') in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/view/authentication/accountHome.php on line 2
[04-Aug-2012 06:01:41] PHP Warning:  include(/Applications/XAMPP/xamppfiles/htdocs/spkmanager/footer.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/view/authentication/accountHome.php on line 8
[04-Aug-2012 06:01:41] PHP Warning:  include() [<a href='function.include'>function.include</a>]: Failed opening '/Applications/XAMPP/xamppfiles/htdocs/spkmanager/footer.php' for inclusion (include_path='.:/Applications/XAMPP/xamppfiles/lib/php:/Applications/XAMPP/xamppfiles/lib/php/pear') in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/view/authentication/accountHome.php on line 8
[04-Aug-2012 06:16:50] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
[04-Aug-2012 06:16:58] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
[04-Aug-2012 06:17:20] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 50
[04-Aug-2012 06:17:20] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 50
[04-Aug-2012 06:17:20] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 50
[04-Aug-2012 06:17:20] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 50
[04-Aug-2012 06:17:20] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 50
[04-Aug-2012 06:17:29] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 50
[04-Aug-2012 06:17:29] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 50
[04-Aug-2012 06:17:29] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 50
[04-Aug-2012 06:17:29] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 50
[04-Aug-2012 06:17:29] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 50
[04-Aug-2012 06:19:48] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
[04-Aug-2012 06:21:52] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
[04-Aug-2012 06:24:27] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
[04-Aug-2012 06:27:15] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 50
[04-Aug-2012 06:30:35] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 60
[04-Aug-2012 06:30:37] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 60
[04-Aug-2012 06:33:43] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
[04-Aug-2012 06:33:46] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
